CPT,LOCALITY,YEAR,COUNTY,ASC_BASE_AMOUNT,ASC_120PCT
20972,04,2022,MiamiDade,2910.45,3492.54
20973,04,2022,MiamiDade,2910.45,3492.54
21501,04,2022,MiamiDade,989.19,1187.03
21550,04,2022,MiamiDade,590.27,708.32
21556,04,2022,MiamiDade,989.19,1187.03
21600,04,2022,MiamiDade,2910.45,3492.54
21820,04,2022,MiamiDade,103.53,124.24
21930,04,2022,MiamiDade,590.27,708.32
21931,04,2022,MiamiDade,590.27,708.32
22102,04,2022,MiamiDade,2910.45,3492.54
22310,04,2022,MiamiDade,103.53,124.24
22510,04,2022,MiamiDade,1320.55,1584.66
22511,04,2022,MiamiDade,1320.55,1584.66
22513,04,2022,MiamiDade,2910.45,3492.54
22514,04,2022,MiamiDade,2910.45,3492.54
22551,04,2022,MiamiDade,8487.49,10184.99
22554,04,2022,MiamiDade,8435.19,10122.23
22612,04,2022,MiamiDade,8556.27,10267.52
22856,04,2022,MiamiDade,12029.44,14435.33
22867,04,2022,MiamiDade,12532.56,15039.07
22869,04,2022,MiamiDade,10174.12,12208.94
23000,04,2022,MiamiDade,989.19,1187.03
23020,04,2022,MiamiDade,1320.55,1584.66
23030,04,2022,MiamiDade,989.19,1187.03
23031,04,2022,MiamiDade,989.19,1187.03
23035,04,2022,MiamiDade,719.62,863.54
23040,04,2022,MiamiDade,1320.55,1584.66
23044,04,2022,MiamiDade,1320.55,1584.66
23071,04,2022,MiamiDade,590.27,708.32
23073,04,2022,MiamiDade,989.19,1187.03
23075,04,2022,MiamiDade,590.27,708.32
23076,04,2022,MiamiDade,989.19,1187.03
23101,04,2022,MiamiDade,1320.55,1584.66
23105,04,2022,MiamiDade,2910.45,3492.54
23120,04,2022,MiamiDade,1320.55,1584.66
23130,04,2022,MiamiDade,1320.55,1584.66
23140,04,2022,MiamiDade,1320.55,1584.66
23150,04,2022,MiamiDade,1320.55,1584.66
23156,04,2022,MiamiDade,3789.01,4546.81
23180,04,2022,MiamiDade,2910.45,3492.54
23182,04,2022,MiamiDade,2910.45,3492.54
23333,04,2022,MiamiDade,989.19,1187.03
23397,04,2022,MiamiDade,2910.45,3492.54
23405,04,2022,MiamiDade,2910.45,3492.54
23406,04,2022,MiamiDade,3764.64,4517.57
23410,04,2022,MiamiDade,2910.45,3492.54
23412,04,2022,MiamiDade,2910.45,3492.54
23415,04,2022,MiamiDade,2910.45,3492.54
23420,04,2022,MiamiDade,2910.45,3492.54
23430,04,2022,MiamiDade,2910.45,3492.54
23440,04,2022,MiamiDade,3907.19,4688.63
23455,04,2022,MiamiDade,3917.68,4701.22
23460,04,2022,MiamiDade,4543.44,5452.13
23462,04,2022,MiamiDade,2910.45,3492.54
23465,04,2022,MiamiDade,2910.45,3492.54
23466,04,2022,MiamiDade,2910.45,3492.54
23485,04,2022,MiamiDade,8199.27,9839.12
23500,04,2022,MiamiDade,103.53,124.24
23505,04,2022,MiamiDade,719.62,863.54
23515,04,2022,MiamiDade,3997.6,4797.12
23545,04,2022,MiamiDade,103.53,124.24
23550,04,2022,MiamiDade,3828.69,4594.43
23552,04,2022,MiamiDade,3879.14,4654.97
23570,04,2022,MiamiDade,103.53,124.24
23585,04,2022,MiamiDade,3976.06,4771.27
23600,04,2022,MiamiDade,103.53,124.24
23605,04,2022,MiamiDade,719.62,863.54
23615,04,2022,MiamiDade,8385.73,10062.88
23616,04,2022,MiamiDade,11546.62,13855.94
23620,04,2022,MiamiDade,103.53,124.24
23630,04,2022,MiamiDade,3789.01,4546.81
23650,04,2022,MiamiDade,103.53,124.24
23655,04,2022,MiamiDade,719.62,863.54
23660,04,2022,MiamiDade,2910.45,3492.54
23665,04,2022,MiamiDade,719.62,863.54
23670,04,2022,MiamiDade,2910.45,3492.54
23675,04,2022,MiamiDade,719.62,863.54
23680,04,2022,MiamiDade,9142.92,10971.5
23700,04,2022,MiamiDade,719.62,863.54
23800,04,2022,MiamiDade,2910.45,3492.54
23802,04,2022,MiamiDade,5837.87,7005.44
23930,04,2022,MiamiDade,989.19,1187.03
23931,04,2022,MiamiDade,590.27,708.32
23935,04,2022,MiamiDade,1320.55,1584.66
24000,04,2022,MiamiDade,1320.55,1584.66
24006,04,2022,MiamiDade,1320.55,1584.66
24065,04,2022,MiamiDade,181.4,217.68
24066,04,2022,MiamiDade,989.19,1187.03
24071,04,2022,MiamiDade,989.19,1187.03
24073,04,2022,MiamiDade,989.19,1187.03
24075,04,2022,MiamiDade,590.27,708.32
24076,04,2022,MiamiDade,989.19,1187.03
24077,04,2022,MiamiDade,989.19,1187.03
24100,04,2022,MiamiDade,1320.55,1584.66
24101,04,2022,MiamiDade,1320.55,1584.66
24102,04,2022,MiamiDade,1320.55,1584.66
24105,04,2022,MiamiDade,1320.55,1584.66
24115,04,2022,MiamiDade,2910.45,3492.54
24116,04,2022,MiamiDade,3789.01,4546.81
24120,04,2022,MiamiDade,1320.55,1584.66
24130,04,2022,MiamiDade,1320.55,1584.66
24134,04,2022,MiamiDade,2910.45,3492.54
24136,04,2022,MiamiDade,1320.55,1584.66
24138,04,2022,MiamiDade,2910.45,3492.54
24140,04,2022,MiamiDade,1320.55,1584.66
24145,04,2022,MiamiDade,2910.45,3492.54
24147,04,2022,MiamiDade,1320.55,1584.66
24149,04,2022,MiamiDade,2910.45,3492.54
24152,04,2022,MiamiDade,2910.45,3492.54
24155,04,2022,MiamiDade,1320.55,1584.66
24160,04,2022,MiamiDade,1320.55,1584.66
24164,04,2022,MiamiDade,1320.55,1584.66
24200,04,2022,MiamiDade,149.83,179.8
24201,04,2022,MiamiDade,989.19,1187.03
24300,04,2022,MiamiDade,719.62,863.54
24301,04,2022,MiamiDade,2910.45,3492.54
24305,04,2022,MiamiDade,1320.55,1584.66
24310,04,2022,MiamiDade,1320.55,1584.66
24320,04,2022,MiamiDade,2910.45,3492.54
24330,04,2022,MiamiDade,2910.45,3492.54
24331,04,2022,MiamiDade,2910.45,3492.54
24332,04,2022,MiamiDade,1320.55,1584.66
24340,04,2022,MiamiDade,2910.45,3492.54
24341,04,2022,MiamiDade,2910.45,3492.54
24342,04,2022,MiamiDade,2910.45,3492.54
24343,04,2022,MiamiDade,1320.55,1584.66
24344,04,2022,MiamiDade,3802.61,4563.13
24345,04,2022,MiamiDade,2910.45,3492.54
24346,04,2022,MiamiDade,5837.87,7005.44
24357,04,2022,MiamiDade,1320.55,1584.66
24358,04,2022,MiamiDade,1320.55,1584.66
24359,04,2022,MiamiDade,1320.55,1584.66
24360,04,2022,MiamiDade,3767.19,4520.63
24362,04,2022,MiamiDade,9331.08,11197.3
24363,04,2022,MiamiDade,12227.23,14672.68
24365,04,2022,MiamiDade,8663.71,10396.45
24366,04,2022,MiamiDade,9038.32,10845.98
24400,04,2022,MiamiDade,2910.45,3492.54
24430,04,2022,MiamiDade,8160.05,9792.06
24435,04,2022,MiamiDade,8140.73,9768.88
24495,04,2022,MiamiDade,2910.45,3492.54
24500,04,2022,MiamiDade,103.53,124.24
24505,04,2022,MiamiDade,719.62,863.54
24515,04,2022,MiamiDade,7980.42,9576.5
24516,04,2022,MiamiDade,8160.05,9792.06
24530,04,2022,MiamiDade,103.53,124.24
24535,04,2022,MiamiDade,719.62,863.54
24538,04,2022,MiamiDade,2910.45,3492.54
24545,04,2022,MiamiDade,8237.93,9885.52
24546,04,2022,MiamiDade,11123.21,13347.85
24560,04,2022,MiamiDade,103.53,124.24
24565,04,2022,MiamiDade,719.62,863.54
24575,04,2022,MiamiDade,8020.77,9624.92
24576,04,2022,MiamiDade,103.53,124.24
24577,04,2022,MiamiDade,719.62,863.54
24579,04,2022,MiamiDade,7698.46,9238.15
24586,04,2022,MiamiDade,8278.29,9933.95
24600,04,2022,MiamiDade,103.53,124.24
24605,04,2022,MiamiDade,719.62,863.54
24615,04,2022,MiamiDade,4062.21,4874.65
24620,04,2022,MiamiDade,719.62,863.54
24635,04,2022,MiamiDade,4033.02,4839.62
24650,04,2022,MiamiDade,103.53,124.24
24655,04,2022,MiamiDade,719.62,863.54
24665,04,2022,MiamiDade,2910.45,3492.54
24666,04,2022,MiamiDade,9095.74,10914.89
24670,04,2022,MiamiDade,103.53,124.24
24675,04,2022,MiamiDade,719.62,863.54
24685,04,2022,MiamiDade,3850.79,4620.95
24800,04,2022,MiamiDade,2910.45,3492.54
24802,04,2022,MiamiDade,5837.87,7005.44
24925,04,2022,MiamiDade,1320.55,1584.66
25000,04,2022,MiamiDade,719.62,863.54
25001,04,2022,MiamiDade,1320.55,1584.66
25020,04,2022,MiamiDade,719.62,863.54
25023,04,2022,MiamiDade,1320.55,1584.66
25024,04,2022,MiamiDade,1320.55,1584.66
25025,04,2022,MiamiDade,719.62,863.54
25028,04,2022,MiamiDade,1320.55,1584.66
25035,04,2022,MiamiDade,2910.45,3492.54
25040,04,2022,MiamiDade,1320.55,1584.66
25065,04,2022,MiamiDade,181.4,217.68
25066,04,2022,MiamiDade,989.19,1187.03
25071,04,2022,MiamiDade,590.27,708.32
25073,04,2022,MiamiDade,989.19,1187.03
25075,04,2022,MiamiDade,590.27,708.32
25076,04,2022,MiamiDade,590.27,708.32
25077,04,2022,MiamiDade,989.19,1187.03
25085,04,2022,MiamiDade,1320.55,1584.66
25100,04,2022,MiamiDade,1320.55,1584.66
25101,04,2022,MiamiDade,1320.55,1584.66
25105,04,2022,MiamiDade,1320.55,1584.66
25107,04,2022,MiamiDade,1320.55,1584.66
25110,04,2022,MiamiDade,719.62,863.54
25111,04,2022,MiamiDade,719.62,863.54
25112,04,2022,MiamiDade,719.62,863.54
25115,04,2022,MiamiDade,719.62,863.54
25116,04,2022,MiamiDade,1320.55,1584.66
25118,04,2022,MiamiDade,719.62,863.54
25119,04,2022,MiamiDade,1320.55,1584.66
25120,04,2022,MiamiDade,1320.55,1584.66
25125,04,2022,MiamiDade,719.62,863.54
25126,04,2022,MiamiDade,1320.55,1584.66
25130,04,2022,MiamiDade,1320.55,1584.66
25135,04,2022,MiamiDade,2910.45,3492.54
25136,04,2022,MiamiDade,2910.45,3492.54
25145,04,2022,MiamiDade,1320.55,1584.66
25150,04,2022,MiamiDade,1320.55,1584.66
25151,04,2022,MiamiDade,1320.55,1584.66
25210,04,2022,MiamiDade,1320.55,1584.66
25215,04,2022,MiamiDade,1320.55,1584.66
25230,04,2022,MiamiDade,1320.55,1584.66
25240,04,2022,MiamiDade,1320.55,1584.66
25248,04,2022,MiamiDade,719.62,863.54
25250,04,2022,MiamiDade,719.62,863.54
25251,04,2022,MiamiDade,1320.55,1584.66
25259,04,2022,MiamiDade,719.62,863.54
25260,04,2022,MiamiDade,1320.55,1584.66
25263,04,2022,MiamiDade,2910.45,3492.54
25265,04,2022,MiamiDade,1320.55,1584.66
25270,04,2022,MiamiDade,1320.55,1584.66
25272,04,2022,MiamiDade,1320.55,1584.66
25274,04,2022,MiamiDade,1320.55,1584.66
25275,04,2022,MiamiDade,1320.55,1584.66
25280,04,2022,MiamiDade,1320.55,1584.66
25290,04,2022,MiamiDade,1320.55,1584.66
25295,04,2022,MiamiDade,1320.55,1584.66
25300,04,2022,MiamiDade,1320.55,1584.66
25301,04,2022,MiamiDade,1320.55,1584.66
25310,04,2022,MiamiDade,1320.55,1584.66
25312,04,2022,MiamiDade,1320.55,1584.66
25315,04,2022,MiamiDade,2910.45,3492.54
25316,04,2022,MiamiDade,2910.45,3492.54
25320,04,2022,MiamiDade,2910.45,3492.54
25332,04,2022,MiamiDade,1320.55,1584.66
25335,04,2022,MiamiDade,1320.55,1584.66
25337,04,2022,MiamiDade,3805.45,4566.54
25350,04,2022,MiamiDade,4108.69,4930.43
25355,04,2022,MiamiDade,1320.55,1584.66
25360,04,2022,MiamiDade,3800.91,4561.09
25365,04,2022,MiamiDade,5837.87,7005.44
25390,04,2022,MiamiDade,4011.21,4813.45
25391,04,2022,MiamiDade,8328.32,9993.98
25394,04,2022,MiamiDade,1320.55,1584.66
25400,04,2022,MiamiDade,4079.78,4895.74
25405,04,2022,MiamiDade,4017.15,4820.58
25415,04,2022,MiamiDade,4322.38,5186.86
25430,04,2022,MiamiDade,1320.55,1584.66
25431,04,2022,MiamiDade,2910.45,3492.54
25440,04,2022,MiamiDade,2910.45,3492.54
25441,04,2022,MiamiDade,9286.18,11143.42
25442,04,2022,MiamiDade,12660.41,15192.49
25443,04,2022,MiamiDade,4350.44,5220.53
25444,04,2022,MiamiDade,9071.3,10885.56
25445,04,2022,MiamiDade,4382.18,5258.62
25446,04,2022,MiamiDade,13016.12,15619.34
25447,04,2022,MiamiDade,1320.55,1584.66
25449,04,2022,MiamiDade,2910.45,3492.54
25500,04,2022,MiamiDade,103.53,124.24
25505,04,2022,MiamiDade,719.62,863.54
25515,04,2022,MiamiDade,3915.13,4698.16
25520,04,2022,MiamiDade,719.62,863.54
25525,04,2022,MiamiDade,3836.34,4603.61
25526,04,2022,MiamiDade,3789.01,4546.81
25530,04,2022,MiamiDade,103.53,124.24
25535,04,2022,MiamiDade,103.53,124.24
25545,04,2022,MiamiDade,3834.64,4601.57
25560,04,2022,MiamiDade,103.53,124.24
25565,04,2022,MiamiDade,719.62,863.54
25574,04,2022,MiamiDade,4154.61,4985.53
25575,04,2022,MiamiDade,4053.42,4864.1
25600,04,2022,MiamiDade,103.53,124.24
25605,04,2022,MiamiDade,719.62,863.54
25606,04,2022,MiamiDade,1320.55,1584.66
25607,04,2022,MiamiDade,4179.26,5015.11
25608,04,2022,MiamiDade,4171.04,5005.25
25609,04,2022,MiamiDade,4189.47,5027.36
25622,04,2022,MiamiDade,103.53,124.24
25624,04,2022,MiamiDade,719.62,863.54
25628,04,2022,MiamiDade,2910.45,3492.54
25630,04,2022,MiamiDade,103.53,124.24
25635,04,2022,MiamiDade,719.62,863.54
25645,04,2022,MiamiDade,1320.55,1584.66
25650,04,2022,MiamiDade,103.53,124.24
25651,04,2022,MiamiDade,1320.55,1584.66
25652,04,2022,MiamiDade,3787.31,4544.77
25660,04,2022,MiamiDade,103.53,124.24
25670,04,2022,MiamiDade,4540.31,5448.37
25671,04,2022,MiamiDade,1320.55,1584.66
25675,04,2022,MiamiDade,103.53,124.24
25676,04,2022,MiamiDade,2910.45,3492.54
25680,04,2022,MiamiDade,103.53,124.24
25685,04,2022,MiamiDade,2910.45,3492.54
25690,04,2022,MiamiDade,719.62,863.54
25695,04,2022,MiamiDade,2910.45,3492.54
25800,04,2022,MiamiDade,3983.14,4779.77
25805,04,2022,MiamiDade,4144.69,4973.63
25810,04,2022,MiamiDade,8272.61,9927.13
25820,04,2022,MiamiDade,3983.42,4780.1
25825,04,2022,MiamiDade,4026.22,4831.46
25830,04,2022,MiamiDade,2910.45,3492.54
25907,04,2022,MiamiDade,1320.55,1584.66
25922,04,2022,MiamiDade,719.62,863.54
25929,04,2022,MiamiDade,860.34,1032.41
25931,04,2022,MiamiDade,1320.55,1584.66
26010,04,2022,MiamiDade,90.2,108.24
26011,04,2022,MiamiDade,590.27,708.32
26020,04,2022,MiamiDade,1320.55,1584.66
26025,04,2022,MiamiDade,1320.55,1584.66
26030,04,2022,MiamiDade,1320.55,1584.66
26034,04,2022,MiamiDade,719.62,863.54
26035,04,2022,MiamiDade,1320.55,1584.66
26037,04,2022,MiamiDade,1320.55,1584.66
26040,04,2022,MiamiDade,719.62,863.54
26055,04,2022,MiamiDade,719.62,863.54
26060,04,2022,MiamiDade,719.62,863.54
26070,04,2022,MiamiDade,719.62,863.54
26075,04,2022,MiamiDade,1320.55,1584.66
26080,04,2022,MiamiDade,719.62,863.54
26100,04,2022,MiamiDade,1320.55,1584.66
26105,04,2022,MiamiDade,1320.55,1584.66
26110,04,2022,MiamiDade,719.62,863.54
26111,04,2022,MiamiDade,590.27,708.32
26113,04,2022,MiamiDade,590.27,708.32
26115,04,2022,MiamiDade,590.27,708.32
26116,04,2022,MiamiDade,590.27,708.32
26117,04,2022,MiamiDade,989.19,1187.03
26121,04,2022,MiamiDade,1320.55,1584.66
26123,04,2022,MiamiDade,1320.55,1584.66
26130,04,2022,MiamiDade,1320.55,1584.66
26135,04,2022,MiamiDade,1320.55,1584.66
26140,04,2022,MiamiDade,719.62,863.54
26145,04,2022,MiamiDade,719.62,863.54
26160,04,2022,MiamiDade,719.62,863.54
26170,04,2022,MiamiDade,719.62,863.54
26180,04,2022,MiamiDade,719.62,863.54
26185,04,2022,MiamiDade,719.62,863.54
26200,04,2022,MiamiDade,719.62,863.54
26205,04,2022,MiamiDade,2910.45,3492.54
26210,04,2022,MiamiDade,719.62,863.54
26215,04,2022,MiamiDade,1320.55,1584.66
26230,04,2022,MiamiDade,1320.55,1584.66
26235,04,2022,MiamiDade,719.62,863.54
26236,04,2022,MiamiDade,719.62,863.54
26250,04,2022,MiamiDade,1320.55,1584.66
26260,04,2022,MiamiDade,1320.55,1584.66
26262,04,2022,MiamiDade,719.62,863.54
26320,04,2022,MiamiDade,590.27,708.32
26340,04,2022,MiamiDade,719.62,863.54
26341,04,2022,MiamiDade,80.96,97.15
26350,04,2022,MiamiDade,1320.55,1584.66
26352,04,2022,MiamiDade,2910.45,3492.54
26356,04,2022,MiamiDade,1320.55,1584.66
26357,04,2022,MiamiDade,1320.55,1584.66
26358,04,2022,MiamiDade,2910.45,3492.54
26370,04,2022,MiamiDade,1320.55,1584.66
26372,04,2022,MiamiDade,2910.45,3492.54
26373,04,2022,MiamiDade,1320.55,1584.66
26390,04,2022,MiamiDade,3885.37,4662.44
26392,04,2022,MiamiDade,2910.45,3492.54
26410,04,2022,MiamiDade,719.62,863.54
26412,04,2022,MiamiDade,1320.55,1584.66
26415,04,2022,MiamiDade,1320.55,1584.66
26416,04,2022,MiamiDade,1320.55,1584.66
26418,04,2022,MiamiDade,719.62,863.54
26420,04,2022,MiamiDade,1320.55,1584.66
26426,04,2022,MiamiDade,1320.55,1584.66
26428,04,2022,MiamiDade,1320.55,1584.66
26432,04,2022,MiamiDade,719.62,863.54
26433,04,2022,MiamiDade,1320.55,1584.66
26434,04,2022,MiamiDade,1320.55,1584.66
26437,04,2022,MiamiDade,1320.55,1584.66
26440,04,2022,MiamiDade,719.62,863.54
26442,04,2022,MiamiDade,1320.55,1584.66
26445,04,2022,MiamiDade,1320.55,1584.66
26449,04,2022,MiamiDade,1320.55,1584.66
26450,04,2022,MiamiDade,1320.55,1584.66
26455,04,2022,MiamiDade,719.62,863.54
26460,04,2022,MiamiDade,719.62,863.54
26471,04,2022,MiamiDade,1320.55,1584.66
26474,04,2022,MiamiDade,719.62,863.54
26476,04,2022,MiamiDade,1320.55,1584.66
26477,04,2022,MiamiDade,1320.55,1584.66
26478,04,2022,MiamiDade,1320.55,1584.66
26479,04,2022,MiamiDade,1320.55,1584.66
26480,04,2022,MiamiDade,1320.55,1584.66
26483,04,2022,MiamiDade,1320.55,1584.66
26485,04,2022,MiamiDade,1320.55,1584.66
26489,04,2022,MiamiDade,1320.55,1584.66
26490,04,2022,MiamiDade,1320.55,1584.66
26492,04,2022,MiamiDade,1320.55,1584.66
26494,04,2022,MiamiDade,1320.55,1584.66
26496,04,2022,MiamiDade,1320.55,1584.66
26497,04,2022,MiamiDade,1320.55,1584.66
26498,04,2022,MiamiDade,1320.55,1584.66
26499,04,2022,MiamiDade,1320.55,1584.66
26500,04,2022,MiamiDade,2910.45,3492.54
26502,04,2022,MiamiDade,1320.55,1584.66
26508,04,2022,MiamiDade,1320.55,1584.66
26510,04,2022,MiamiDade,1320.55,1584.66
26516,04,2022,MiamiDade,1708.11,2049.73
26517,04,2022,MiamiDade,1320.55,1584.66
26518,04,2022,MiamiDade,3789.01,4546.81
26520,04,2022,MiamiDade,1320.55,1584.66
26525,04,2022,MiamiDade,719.62,863.54
26530,04,2022,MiamiDade,3830.96,4597.15
26531,04,2022,MiamiDade,4247.56,5097.07
26535,04,2022,MiamiDade,1320.55,1584.66
26536,04,2022,MiamiDade,3993.35,4792.02
26540,04,2022,MiamiDade,1320.55,1584.66
26541,04,2022,MiamiDade,1320.55,1584.66
26542,04,2022,MiamiDade,1320.55,1584.66
26545,04,2022,MiamiDade,1320.55,1584.66
26546,04,2022,MiamiDade,2910.45,3492.54
26548,04,2022,MiamiDade,1320.55,1584.66
26550,04,2022,MiamiDade,1320.55,1584.66
26555,04,2022,MiamiDade,2910.45,3492.54
26560,04,2022,MiamiDade,719.62,863.54
26561,04,2022,MiamiDade,1320.55,1584.66
26562,04,2022,MiamiDade,1320.55,1584.66
26565,04,2022,MiamiDade,1320.55,1584.66
26567,04,2022,MiamiDade,1320.55,1584.66
26568,04,2022,MiamiDade,3789.01,4546.81
26580,04,2022,MiamiDade,1320.55,1584.66
26587,04,2022,MiamiDade,1320.55,1584.66
26590,04,2022,MiamiDade,719.62,863.54
26591,04,2022,MiamiDade,1320.55,1584.66
26593,04,2022,MiamiDade,1320.55,1584.66
26596,04,2022,MiamiDade,1320.55,1584.66
26600,04,2022,MiamiDade,103.53,124.24
26605,04,2022,MiamiDade,103.53,124.24
26607,04,2022,MiamiDade,1320.55,1584.66
26608,04,2022,MiamiDade,1320.55,1584.66
26615,04,2022,MiamiDade,1320.55,1584.66
26641,04,2022,MiamiDade,103.53,124.24
26645,04,2022,MiamiDade,719.62,863.54
26650,04,2022,MiamiDade,1320.55,1584.66
26665,04,2022,MiamiDade,1320.55,1584.66
26670,04,2022,MiamiDade,103.53,124.24
26675,04,2022,MiamiDade,719.62,863.54
26676,04,2022,MiamiDade,1320.55,1584.66
