CPT,LOCALITY,YEAR,NON_FAC_LC,OCSF_STANDARD_FEE
23605,03,2022,567.31,1320.0
23620,03,2022,325.28,660.0
23650,03,2022,395.97,1533.0
23665,03,2022,524.18,1657.0
23675,03,2022,666.69,2200.0
23930,03,2022,432.91,627.0
23931,03,2022,357.63,397.0
24065,03,2022,306.69,213.0
24066,03,2022,742.9,707.0
24075,03,2022,641.78,1511.0
24200,03,2022,259.72,213.0
24201,03,2022,656.64,1692.0
24500,03,2022,433.76,1070.0
24505,03,2022,608.49,990.0
24530,03,2022,458.79,1275.0
24535,03,2022,747.82,1540.0
24560,03,2022,398.96,605.0
24565,03,2022,653.09,2200.0
24576,03,2022,419.77,605.0
24577,03,2022,672.43,880.0
24600,03,2022,455.58,935.0
24650,03,2022,313.99,846.0
24655,03,2022,539.04,1482.0
24670,03,2022,351.23,440.0
24675,03,2022,560.99,1506.0
25065,03,2022,301.18,293.0
25075,03,2022,621.62,1155.0
25246,03,2022,231.29,204.0
25500,03,2022,340.47,605.0
25505,03,2022,609.68,935.0
25520,03,2022,698.8,1908.0
25530,03,2022,313.67,550.0
25535,03,2022,597.46,935.0
25560,03,2022,347.23,605.0
25565,03,2022,629.89,1045.0
25600,03,2022,403.4,957.0
25605,03,2022,655.23,1824.0
25622,03,2022,367.88,908.0
25624,03,2022,590.94,874.0
25630,03,2022,366.57,992.0
25635,03,2022,561.27,799.0
25650,03,2022,396.25,605.0
25675,03,2022,543.63,664.0
26010,03,2022,407.97,1600.0
26011,03,2022,570.36,1226.0
26055,03,2022,698.69,1705.0
26115,03,2022,650.65,1292.0
26160,03,2022,727.87,1815.0
26341,03,2022,138.27,412.0
26600,03,2022,359.02,771.0
26605,03,2022,397.07,1269.0
26641,03,2022,505.76,473.0
26645,03,2022,524.94,935.0
26670,03,2022,423.37,385.0
26675,03,2022,558.72,691.0
26700,03,2022,410.18,578.0
26705,03,2022,508.02,507.0
26720,03,2022,238.8,499.0
26725,03,2022,411.43,912.0
26740,03,2022,277.5,411.0
26742,03,2022,451.05,561.0
26750,03,2022,224.04,612.0
26755,03,2022,385.49,1072.0
26770,03,2022,345.16,868.0
26775,03,2022,470.89,1750.0
26991,03,2022,847.84,1100.0
27047,03,2022,599.97,1116.0
27093,03,2022,277.47,440.0
27096,03,2022,187.39,748.0
27200,03,2022,225.39,815.0
27220,03,2022,509.28,1980.0
27230,03,2022,589.51,1124.0
27246,03,2022,474.81,2113.0
27301,03,2022,810.28,2813.0
27327,03,2022,604.49,1320.0
